"Data Import Template"
"Table:","Account"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Account","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Account Name","Company","Parent Account","Created On","Created By","Disable","Account Number","Is Group","Root Type","Report Type","Currency","Account Type","Rate","Frozen","Balance must be","Include in gross"
"Column Name:","name","account_name","company","parent_account","creation","owner","disabled","account_number","is_group","root_type","report_type","account_currency","account_type","tax_rate","freeze_account","balance_must_be","include_in_gross"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Link","Link","Datetime","Link","Check","Data","Check","Select","Select","Link","Select","Float","Select","Select","Check"
"Info:","","","Valid Company","Valid Account","dd-mm-yyyy","Valid User","0 or 1","","0 or 1","One of: Asset, Liability, Income, Expense, Equity","One of: Balance Sheet, Profit and Loss","Valid Currency","One of: Accumulated Depreciation, Asset Received But Not Billed, Bank, Cash, Chargeable, Capital Work in Progress, Cost of Goods Sold, Current Asset, Current Liability, Depreciation, Direct Expense, Direct Income, Equity, Expense Account, Expenses Included In Asset Valuation, Expenses Included In Valuation, Fixed Asset, Income Account, Indirect Expense, Indirect Income, Liability, Payable, Receivable, Round Off, Stock, Stock Adjustment, Stock Received But Not Billed, Service Received But Not Billed, Tax, Temporary","","One of: No, Yes","One of: Debit, Credit","0 or 1"
"Start entering data below this line"
"","""1000 - Application of Funds (Assets) - GI""","Application of Funds (Assets)","GETSON INDUSTRIES","","2024-06-28 12:06:46.245963","Administrator",0,"1000",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1100-1600 - Current Assets - GI""","Current Assets","GETSON INDUSTRIES","1000 - Application of Funds (Assets) - GI","2024-06-28 12:06:46.265668","Administrator",0,"1100-1600",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1400 - Prepaid Expenses - GI""","Prepaid Expenses","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-07-03 21:14:13.894437","Administrator",0,"1400	",0,"Asset","Balance Sheet","ETB","Current Asset",0.0,"No","",0
"","""1300 - Accounts Receivable - GI""","Accounts Receivable","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.287463","Administrator",0,"1300",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1100 - Accounts Receivable - GI""","Accounts Receivable","GETSON INDUSTRIES","1300 - Accounts Receivable - GI","2024-07-03 21:01:29.213542","Administrator",0,"1100",0,"Asset","Balance Sheet","ETB","Receivable",0.0,"No","",0
"","""1110 - Ethio Telecom Deposit - GI""","Ethio Telecom Deposit","GETSON INDUSTRIES","1300 - Accounts Receivable - GI","2024-07-03 21:02:21.311093","Administrator",0,"1110	",0,"Asset","Balance Sheet","ETB","Current Asset",0.0,"No","",0
"","""1150 - Tender Guarantee Receivable - GI""","Tender Guarantee Receivable","GETSON INDUSTRIES","1300 - Accounts Receivable - GI","2024-07-03 21:03:46.585035","Administrator",0,"1150",0,"Asset","Balance Sheet","ETB","Receivable",0.0,"No","",0
"","""1450 - WHT Receivable - GI""","WHT Receivable	","GETSON INDUSTRIES","1300 - Accounts Receivable - GI","2024-07-03 21:15:03.535281","Administrator",0,"1450	",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1310 - Debtors - GI""","Debtors","GETSON INDUSTRIES","1300 - Accounts Receivable - GI","2024-06-28 12:06:46.304333","Administrator",0,"1310",0,"Asset","Balance Sheet","ETB","Receivable",0.0,"No","",0
"","""1600 - Loans and Advances (Assets) - GI""","Loans and Advances (Assets)","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.363783","Administrator",0,"1600",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1610 - Employee Advances - GI""","Employee Advances","GETSON INDUSTRIES","1600 - Loans and Advances (Assets) - GI","2024-06-28 12:06:46.378143","Administrator",0,"1610",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1650 - Securities and Deposits - GI""","Securities and Deposits","GETSON INDUSTRIES","1100-1600 - Current Assets - GI","2024-06-28 12:06:46.393640","Administrator",0,"1650",1,"Asset","Balance Sheet","ETB","",0.0,"No","",0
"","""1651 - Earnest Money - GI""","Earnest Money","GETSON INDUSTRIES","1650 - Securities and Deposits - GI","2024-06-28 12:06:46.401450","Administrator",0,"1651",0,"Asset","Balance Sheet","ETB","",0.0,"No","",0
