"Data Import Template"
"Table:","Customer"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Customer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Allowed To Transact With","companies","","","~","Customer Credit Limit","credit_limits","","","","","~","Party Account","accounts","","","","","~","Sales Team","sales_team","","","","","","","~","Portal User","portal_users","",""
"Column Labels:","ID","Customer Name","Customer Type","Created On","Created By","Salutation","Customer Group","Territory","Gender","From Lead","From Opportunity","From Prospect","Account Manager","Billing Currency","Default Company Bank Account","Default Price List","Is Internal Customer","Represents Company","Market Segment","Industry","Customer POS id","Website","Print Language","Customer Details","Customer Primary Address","Primary Address","Customer Primary Contact","Mobile No","Email Id","Tax ID","Tax Category","Tax Withholding Category","Default Payment Terms Template","Loyalty Program","Loyalty Program Tier","Sales Partner","Commission Rate","Allow Sales Invoice Creation Without Sales Order","Allow Sales Invoice Creation Without Delivery Note","Is Frozen","Disabled","","ID","Company","Created On","Created By","","ID","Created On","Created By","Company","Credit Limit","Bypass Credit Limit Check at Sales Order","","ID","Company","Created On","Created By","Default Account","Advance Account","","ID","Sales Person","Created On","Created By","Contribution (%)","Contribution to Net Total","Commission Rate","Incentives","","ID","User","Created On","Created By"
"Column Name:","name","customer_name","customer_type","creation","owner","salutation","customer_group","territory","gender","lead_name","opportunity_name","prospect_name","account_manager","default_currency","default_bank_account","default_price_list","is_internal_customer","represents_company","market_segment","industry","customer_pos_id","website","language","customer_details","customer_primary_address","primary_address","customer_primary_contact","mobile_no","email_id","tax_id","tax_category","tax_withholding_category","payment_terms","loyalty_program","loyalty_program_tier","default_sales_partner","default_commission_rate","so_required","dn_required","is_frozen","disabled","~","name","company","creation","owner","~","name","creation","owner","company","credit_limit","bypass_credit_limit_check","~","name","company","creation","owner","account","advance_account","~","name","sales_person","creation","owner","allocated_percentage","allocated_amount","commission_rate","incentives","~","name","user","creation","owner"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","No","No","","Yes","No","No","No","No","No","","Yes","Yes","No","No","No","No","","Yes","Yes","No","No","No","No","No","No","","Yes","Yes","No","No"
"Type:","Data","Data","Select","Datetime","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Link","Check","Link","Link","Link","Data","Data","Link","Text","Link","Text","Link","Read Only","Read Only","Data","Link","Link","Link","Link","Data","Link","Float","Check","Check","Check","Check","","Data","Link","Datetime","Link","","Data","Datetime","Link","Link","Currency","Check","","Data","Link","Datetime","Link","Link","Link","","Data","Link","Datetime","Link","Float","Currency","Data","Currency","","Data","Link","Datetime","Link"
"Info:","","","One of: Company, Individual, Partnership","dd-mm-yyyy","Valid User","Valid Salutation","Valid Customer Group","Valid Territory","Valid Gender","Valid Lead","Valid Opportunity","Valid Prospect","Valid User","Valid Currency","Valid Bank Account","Valid Price List","0 or 1","Valid Company","Valid Market Segment","Valid Industry Type","","","Valid Language","","Valid Address","","Valid Contact","","","","Valid Tax Category","Valid Tax Withholding Category","Valid Payment Terms Template","Valid Loyalty Program","","Valid Sales Partner","","0 or 1","0 or 1","0 or 1","0 or 1","","","Valid Company","dd-mm-yyyy","Valid User","","","dd-mm-yyyy","Valid User","Valid Company","","0 or 1","","","Valid Company","dd-mm-yyyy","Valid User","Valid Account","Valid Account","","","Valid Sales Person","dd-mm-yyyy","Valid User","","","","","","","Valid User","dd-mm-yyyy","Valid User"
"Start entering data below this line"
"","""AACRA""","AACRA","Company","2024-06-28 12:28:03.826736","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AAIT""","AAIT","Company","2024-06-28 12:27:59.279606","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AASTU""","AASTU","Company","2024-06-28 12:28:05.851274","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AAU College of Natural & Computational""","AAU College of Natural & Computational","Company","2024-06-28 12:28:07.229314","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""AAU, ACEWM""","AAU, ACEWM","Company","2024-06-28 12:28:07.717660","wuberst.sisay@fineto.fi","","","","","","","","","","","",0,"","","","","","en","","","","","","","","","","","","","",0.0,0,0,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
