"Data Import Template"
"Table:","Data Import"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Data Import","","","","","","","","",""
"Column Labels:","ID","Document Type","Import Type","Created On","Created By","Import File","Import from Google Sheets","Submit After Import","Don't Send Emails","Show Only Failed Logs"
"Column Name:","name","reference_doctype","import_type","creation","owner","import_file","google_sheets_url","submit_after_import","mute_emails","show_failed_logs"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No"
"Type:","Data","Link","Select","Datetime","Link","Attach","Data","Check","Check","Check"
"Info:","","Valid DocType","One of: Insert New Records, Update Existing Records","dd-mm-yyyy","Valid User","","","0 or 1","0 or 1","0 or 1"
"Start entering data below this line"
"","""Account Import on 2024-06-29 17:03:34.642351""","Account","Insert New Records","2024-06-29 17:03:34.642351","wuberst.sisay@fineto.fi","/files/coa_importer_template (1)f809cf.xlsx","",0,1,0
"","""Account Import on 2024-07-01 09:23:06.099884""","Account","Insert New Records","2024-07-01 09:23:06.099884","Administrator","/private/files/coa_importer_template (1).xlsx","",0,1,0
"","""Account Import on 2024-07-01 09:43:02.591470""","Account","Insert New Records","2024-07-01 09:43:02.591470","Administrator","/private/files/Account.xlsx","",0,1,0
"","""Account Import on 2024-07-03 23:30:29.838490""","Account","Update Existing Records","2024-07-03 23:30:29.838490","Administrator","","",0,1,0
"","""Customer Import on 2024-06-28 12:27:30.902010""","Customer","Insert New Records","2024-06-28 12:27:30.902010","wuberst.sisay@fineto.fi","/files/Customer List.xlsx","",0,1,0
"","""Item Import on 2024-06-28 12:12:18.474010""","Item","Insert New Records","2024-06-28 12:12:18.474010","wuberst.sisay@fineto.fi","/private/files/Item List ERP.xlsx","",0,1,0
"","""Item Import on 2024-06-28 12:23:45.754393""","Item","Insert New Records","2024-06-28 12:23:45.754393","wuberst.sisay@fineto.fi","/files/Item (10).xlsx","",0,1,0
"","""Item Price Import on 2024-07-04 10:52:04.431996""","Item Price","Insert New Records","2024-07-04 10:52:04.431996","Administrator","","",0,1,0
"","""Journal Entry Import on 2024-07-03 23:36:51.360265""","Journal Entry","Insert New Records","2024-07-03 23:36:51.360265","Administrator","","",0,1,0
"","""Supplier Import on 2024-07-04 09:00:17.773685""","Supplier","Insert New Records","2024-07-04 09:00:17.773685","Administrator","/files/Supplier.xlsx","",0,1,0
"","""UOM Import on 2024-06-28 12:10:35.945618""","UOM","Insert New Records","2024-06-28 12:10:35.945618","wuberst.sisay@fineto.fi","/files/UOM.xlsx","",0,1,0
"","""Warehouse Import on 2024-06-28 14:28:57.700867""","Warehouse","Insert New Records","2024-06-28 14:28:57.700867","wuberst.sisay@fineto.fi","/files/Warehouse.xlsx","",0,1,0
